Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Handcrafted Juice for a Group - 1/2 Gallon,688a07fa6fc4903e7bbaa774459366ba,30.00,30.00,0.0002,2.0000,2,0.0001,,0,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka Bowl,19eee3ab8ae56d4fa56ef6ce1485693d,6134.12,30670.58,0.1970,469.0000,2345,0.1578,33.90,324,,,2025-03-31,2025-04-27,4152.04,20760.22,0.1472,339.2000,1696.0000,0.1212,33.74,325.0000,0.4092,0.2308,1982.07,0.4774,9910.36,0.4774,0.0498,0.3383,129.8000,0.3827,649.0000,0.3827,0.0367,0.3026,0.16,0.0047,-1.0000,-0.0031,,,,
Pick 2 Combo Plate,d12f9ec63617f8719dc1657b8e76514e,543.22,2716.10,0.0174,33.2000,166,0.0112,41.69,6,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloo Gobhi,d64c6c4491b32b7ee357a93508b45c4f,632.59,3162.97,0.0203,45.8000,229,0.0154,47.42,19,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb Kebab Bowl,e67440b5f094175ee64ce831322fe016,935.79,4678.93,0.0300,62.4000,312,0.0210,48.58,82,,,2025-03-31,2025-04-27,1176.12,5880.61,0.0417,86.0000,430.0000,0.0307,45.03,121.0000,0.4380,0.2231,-240.34,-0.2043,-1201.68,-0.2043,-0.0116,-0.2792,-23.6000,-0.2744,-118.0000,-0.2744,-0.0097,-0.3164,3.55,0.0789,-39.0000,-0.3223,,,,
Side of Main,03d76c3a768e84f8c0bbad2f13d4188a,143.88,719.38,0.0046,27.0000,135,0.0091,41.48,28,,,2025-03-31,2025-04-27,96.71,483.54,0.0034,16.8000,84.0000,0.0060,,20.0000,0.6000,0.2000,47.17,0.4877,235.84,0.4877,0.0012,0.3477,10.2000,0.6071,51.0000,,0.0031,0.5142,,,8.0000,,,,,
That Fire Hot Sauce - Side,14e40e9f01921c00a883fd7cd5d5130f,17.80,89.00,0.0006,38.4000,192,0.0129,36.93,22,,,2025-03-31,2025-04-27,13.12,65.58,0.0005,27.6000,138.0000,0.0099,34.08,23.0000,0.3043,0.0435,4.68,0.3571,23.42,,0.0001,0.2294,10.8000,0.3913,54.0000,0.3913,0.0031,0.3107,2.85,0.0836,-1.0000,,,,,
Chicken Tikka + Avocado Salad,0728e0a55ce8f942b4f93af58819db09,708.74,3543.70,0.0228,44.4000,222,0.0149,51.67,51,,,2025-03-31,2025-04-27,937.79,4688.96,0.0332,68.6000,343.0000,0.0245,51.09,81.0000,0.3333,0.1481,-229.05,-0.2442,-1145.26,-0.2442,-0.0105,-0.3154,-24.2000,-0.3528,-121.0000,-0.3528,-0.0096,-0.3903,0.58,0.0114,-30.0000,,,,,
Blossom Lassi,6c09d93c3dca4c4768fd5830f10d2afb,121.44,607.21,0.0039,24.2000,121,0.0081,34.38,33,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai,65f3d39b3b905d8708692e1987f25b8f,49.00,245.00,0.0016,10.8000,54,0.0036,,15,,,2025-03-31,2025-04-27,42.85,214.27,0.0015,11.0000,55.0000,0.0039,,14.0000,0.4286,0.0000,6.15,0.1434,30.73,0.1434,0.0001,0.0358,-0.2000,-0.0182,-1.0000,,-0.0003,-0.0751,,,1.0000,,,,,
Spindrift - Grapefruit,7eb389cafb173c3fe430a2ef7af062b5,19.47,97.35,0.0006,7.4000,37,0.0025,,11,,,2025-03-31,2025-04-27,16.42,82.10,0.0006,5.8000,29.0000,0.0021,,4.0000,0.2500,0.2500,3.05,0.1857,15.25,,0.0000,0.0741,1.6000,0.2759,8.0000,,0.0004,0.2017,,,7.0000,,,,,
That Fire Hot Sauce (Bottle),7ae3bbc205a3328f25e2d5981234643d,27.00,27.00,0.0002,4.0000,4,0.0003,,1,,,2025-03-31,2025-04-27,11.06,22.12,0.0002,1.5000,3.0000,0.0002,,2.0000,0.5000,0.0000,15.94,1.4412,4.88,,0.0000,0.1057,2.5000,1.6667,1.0000,,0.0001,0.2570,,,-1.0000,,,,,
BYO Indian Burrito,db0c5ae76b375d33e10998b4c9f9b7ac,281.66,1408.31,0.0090,21.4000,107,0.0072,39.00,38,,,2025-03-31,2025-04-27,216.09,1080.45,0.0077,17.2000,86.0000,0.0061,,20.0000,0.4000,0.0500,65.57,0.3034,327.86,0.3034,0.0014,0.1808,4.2000,0.2442,21.0000,,0.0011,0.1722,,,18.0000,,,,,
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,31.80,159.00,0.0010,12.0000,60,0.0040,,5,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icaro - Spearmint Yerba Mate,aa7243ca6f400ffe510c9bf89cf96707,12.00,36.00,0.0002,4.0000,12,0.0008,,5,,,2025-03-31,2025-04-27,8.45,25.36,0.0002,2.0000,6.0000,0.0004,,2.0000,0.5000,0.5000,3.55,0.4196,10.64,,0.0001,0.2859,2.0000,1.0000,6.0000,,0.0004,0.8834,,,3.0000,,,,,
